XYNUa8eiYXZpcoEVcWj5;"«Насколько заблуждаются те люди, которые ищут счастья вне самих себя – в чужих странах и путешествиях, в богатстве и славе, в больших владениях и наслаждениях, в удовольствиях и в пустых вещах, которые концом своим имеют горечь! Возводить башню счастья вне нашего сердца – это все равно что строить дом в месте, которое подвергается постоянным землетрясениям. Счастье находится в нас самих, и блажен тот, кто понял это... Счастье - это чистое сердце, потому что такое сердце становится престолом Божиим. Так говорит Господь для тех, кто имеет чистое сердце: ""Вселюсь в них и буду ходить в них "" и буду их Богом, и они будут Моим народом"""" (2Кор. 6:16). Чего им еще может недоставать? Ничего, поистине ничего! Потому что они имеют в сердце своем величайшее благо – Самого Бога!» (свт. Нектарий Эгинский. Путь к счастью, 1).""        "
OwABnExHKgN5hRqZMn18;«Душа, которая любит Бога, в Боге и в Нем одном имеет себе упокоение... На всех путях, какими ходят люди в мире, не обретают они мира, пока не приблизятся к надежде на Бога» (прп. Исаак Сирин. Слова, 56, 89).         
DjHIEB2tcK7C6HySJWrs;«Истина - это не мысль, не слово, не отношения вещей, не закон. Истина - это Личность. Это Существо, Которое проникает во все существа и дает жизнь всему... Если ищешь Истину с любовью и ради любви, Она откроет тебе свет лица Своего настолько, насколько ты сможешь его вынести, не сгорев» (св. Николай Сербский. Мысли о добре и зле).         
Tqm4YCpXMvcPFxMUuHNT;«Бог больше любит нас, чем может любить отец, мать или друг, или кто-либо другой, и даже больше, чем мы сами можем любить себя» (свт. Иоанн Златоуст).         
zrj1MLU0r6I4prjV2fMO;"«Один монах рассказал мне, что когда он был тяжело болен, то мать его сказала отцу: ""Как страдает наш мальчик. Я с радостью дала бы изрезать себя на куски, если бы можно было этим облегчить его страдания"". Такова любовь Господа к людям. Он так сильно жалел людей, что захотел пострадать за них, как родная мать, и даже более. Но понять эту великую любовь без благодати Святого Духа никто не может» (прп. Силуан Афонский. Писания, IХ.10).         "
8uJp4DfXHEVbk1RiPGE1;«Господь любит всех людей, но кто ищет Его, того больше любит... Своим избранникам Господь дает столь великую благодать, что они любовью обнимают всю землю, весь мир, и душа их горит желанием, чтобы все люди спаслись и видели славу Господню» (прп. Силуан Афонский. Писания, IХ.8).         
x8nzjlDFtKxwSmERRC5T;«Чтобы человеку получить представление о египетских пирамидах, он должен либо поверить тем, кто был в непосредственной близости от этих пирамид, либо сам оказаться рядом с ними. Третьего не дано. Так же человек может получить и представление о Боге: либо верить тем, кто стоял и стоит в непосредственной близости от Бога, либо потрудиться, чтобы самому придти в такую близость к Богу» (свт. Николай Сербский. Мысли о добре и зле).         
hurmssNsguKU13oWA7kh;«Как сладость мёда не столько словом, сколько самим чувством вкуса может быть объяснено тем, кто не пробовал мёда, так и доброта Бога не может быть ясно передана в учении, если мы не сможем собственным опытом постигнуть благость Господа» (свт. Василий Великий. Беседы на псалмы, 29).         
h8E7Z6Wb1siIeckpXM6u;«Многие богатые и сильные дали бы дорого за то, чтобы увидеть Господа или Его Пречистую Матерь, но не богатству являет Себя Бог, а смиренной душе... Всякий последний бедняк может смириться и познать Бога. Не надо ни денег, ни имений, чтобы познать Бога, но только смирение» (прп. Силуан Афонский. Писания, I.11,21).         
3aeGRQNcdLpLto9AtIBo;«Сколько бы мы не учились, все равно невозможно познать Господа, если не будем жить по Его заповедям, ибо Господь познается не наукою, а Духом Святым. Многие философы и ученые дошли до веры, что Бог есть, но Бога не познали. Одна дело - верить, что есть Бог, и другое — знать Бога… Кто познал Бога Духом Святым, у того дух горит любовью к Богу день и ночь, и не может душа его привязаться ни к чему земному» (прп. Силуан Афонский. Писания, VIII.3). Как нам относиться к Богу?         
ybToyMAkQYMoeJ5j5vzk;«Имей всегда в сердце своем страх Божий и помни, что Бог везде с тобой, на всяком месте, идешь ли ты или сидишь» (св. Геннадий Константинопольский. Златая цепь, 14).         
fhR72w1VkcEtsNRXgfd7;«Имея Бога, — [ничего] не бойся, но все попечения твои возложи на Него, и Он позаботится о тебе. Верь без сомнений, и Бог поможет тебе, по милости Своей» (прп. Варсонофий Великий. Руководство, 166).         
52QaM9jPG2JjDGGlZxg9;«От всей души нужно любить всякого человека, но надежду возлагать на одного Бога, и Ему одному служить... Ибо пока Он хранит нас, и друзья (ангелы) нам помогают, и враги (демоны) бессильны причинить нам зло. А когда Он нас оставит, то и все друзья от нас отвращаются и враги берут над нами силу» (прп. Максим Исповедник. Главы о любви, 4.95).         
zz4qKgcolAeNIZhPHsVe;«Если человек не имеет вовсе никакого попечения о себе ради любви к Богу и дел добродетели, зная, что Бог заботится о нем, - такая надежда истинная и мудрая. А если человек сам заботится о своих делах и обращается с молитвою к Богу лишь тогда, когда постигают его беды, справиться с которыми он не в силах, начинает надеяться на помощь Божию, - такая надежда пустая и ложная. Истинная надежда ищет одного лишь Царства Божия... Сердце не может иметь мира, пока не обретет такой надежды. Она умиротворит его и вольет в него радость» (прп. Серафим Саровский. Наставления, 4).         
EsfcpXSsipSebORfpCUI;«Не говори: это произошло случайно, а это встретилось само собою. В том, что существует, нет ничего беспорядочного, ничего неопределенного, ничего напрасного, ничего случайного… Сколько волос на твоей голове? Ни один из них не забыт у Бога. Видишь ли, как ничто, даже самое малое, не избегает надзора ока Божия?» (свт. Василий Великий).         
NNClIO5m0DTu0K9Wy6sr;"«Несомненная истина, что высочайший Промысл Божий простирается решительно на всё сотворённое: Бог все предусматривает и обо всем заботится. Это и есть то Божественное отеческое попечение, о котором говорит блаженный апостол Петр: ""Все заботы ваши возложите на Него, ибо Он печется о вас"" (1Пет. 5:7)» (свт. Илия Минятий. Слова в Великий пост, 1).         "
ZaScaV1WrQZTDSnL6vgL;"«Цель Промысла Божия – [людей,] разнообразно разлученных злом, соединить посредством правильной веры и духовной любви. Ради того и пострадал [наш] Спаситель, ""чтобы рассеянных чад Божиих собрать воедино"" (Ин. 11:52)» (прп. Максим Исповедник. Главы о любви, 4.17).         "
GGfDIUqz47oi3Nf3xVzw;"«Чем больше человек ведет духовную жизнь, тем больше он одухотворяется: он начинает видеть во всем Бога, во всем проявление Его силы и могущества "" всегда и везде видит себя пребывающим в Боге и от Бога во всем зависящим. Но чем более плотской образ жизни ведет человек, тем больше он делается весь плотским: он ни в чем не видит Бога, в самых чудесных проявлениях Его Божественной силы, - во всем видит плоть, материю, и везде и во всякое время – """"нет Бога перед очами его"""" (Пс. 35:2)» (св. Иоанн Кронштадтский. Моя жизнь во Христе. I,5).""        "
QWsXQPw3R4P3JCYDOW54;«Когда душа познает любовь Божию Духом Святым, тогда ясно чувствует, что Господь нам Отец, самый родной, самый близкий, самый дорогой, самый лучший, и нет большего счастья, как любить Бога всем умом и сердцем, и ближнего, как самого себя. И когда эта любовь есть в душе, тогда все радует душу» (прп. Силуан Афонский. Писания, IХ.15).         
X1I2ujZLhMuYDUiTqF1e;«Не смущайся, если не чувствуешь в себе любви Божией, но помышляй о Господе, что Он — милостивый, и воздерживайся от грехов, и благодать Божия научит тебя» (прп. Силуан Афонский. Писания, IХ.16).         
YwKc9q5xiR6reNqDjG7m;«Когда бросишь гвоздь в пламя, он, [раскалившись], начинает сиять подобно огню. Так и ты, когда слушаешь Божественное учение и живёшь по нему, становишься подобным Богу» (прп. Симеон Дайбабский. Изречения, 26).         
nwMjNLvHnnUhuP4eX6zi;«Душа, которая в полноте познала Господа, уже ничего другого не пожелает и ни к чему не прилепляется на земле, и если бы ей предложили царство, не захочет она, ибо любовь Христова так сладка и так радует и веселит душу, что и царская жизнь усладить ее уже не может» (прп. Силуан Афонский. Писания, IХ.13).         
8EvGSru7vWBPS9rvku6o;«Нужно искать лишь одно: быть со Иисусом. Богат пребывающий со Иисусом, даже если он и нищий в материальном отношении. Любящий земное более небесного лишится и небесного и земного. Ищущий же небесного - господин всему миру» (свт. Игнатий (Брянчанинов). Отечник, авва Евгений).         
